title,company,location,how_old,link_job
Analista Programador Front-End,Verx Consulting,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2542ba0641c648dc&fccid=24d1ca9980501b61&vjs=3
Desenvolvedor(a) Web,Divulga Vagas,"Chapecó, SC",há 16 dias,https://br.indeed.com/rc/clk?jk=82babdf68f9400f3&fccid=1abbffd7f44ec1e9&vjs=3
Senior or Mid-Level Ruby on Rails Developer (International Project),Visionnaire,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=fb1f636c8ea51ee1&fccid=2aacee86c2027be3&vjs=3
Líder Técnico em Engenharia de Software,Tempest,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=40c2d8035c2301f0&fccid=5694053ccc30dc57&vjs=3
NEON - Desenvolvedor Service Now - Noc,Neon,"São Paulo, SP",há 9 dias,https://br.indeed.com/rc/clk?jk=494fdf23d4b12d51&fccid=70dcb313de6ce890&vjs=3
Site Reliability Engineer (Dog Hero),DogHero,"São Paulo, SP",há 17 dias,https://br.indeed.com/rc/clk?jk=46a67be1ef663099&fccid=c508568edc60defd&vjs=3
Tech Lead Ruby,Petlove,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=43c2a9375421aa45&fccid=44dbd76bfe3fe244&vjs=3
Senior Ruby on Rails Developer (stack moderno e tempo para aprender e aplicar melhores práticas),Flama,Remoto,há 14 dias,https://br.indeed.com/rc/clk?jk=1bd9a2b04821754c&fccid=2fc2238fefd36161&vjs=3
Arquiteto(a) Cloud / DevOps,Soft Expert,"Joinville, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2c1cdcb34e6638f1&fccid=aebca56a7896a4fc&vjs=3
Senior Cloud Engineer,WEX Inc.,Brasil,Hoje,https://br.indeed.com/rc/clk?jk=4a6c3537718c4509&fccid=c9538b927313f8e0&vjs=3
Production Engineer (DevOps),Creditas,"São Paulo, SP",há 3 dias,https://br.indeed.com/rc/clk?jk=db587fd40cead1f1&fccid=5938c0542db98e69&vjs=3
Desenvolvedor Back-end Jr.,Trampolin,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=b2f20840eccfbf91&fccid=01233cf3d3bd3dde&vjs=3
Desenvolvedor Sênior - Projetos,Investtools,"Rio de Janeiro, RJ",há 12 dias,https://br.indeed.com/rc/clk?jk=4c98043ad82b90b8&fccid=5dfcf7629b4f6742&vjs=3
Programador Full Stack Ruby - PORTO ALEGRE - 1 VAGA,Não encontrada,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2e6971715098233f&fccid=dd616958bd9ddc12&vjs=3
Full stack Developer,Pulsus,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=c20dec33922c5adc&fccid=4f6b2ba667bb2543&vjs=3
Desenvolvedor Full Stack,Meubank,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=09247ccf20ffc966&fccid=0d0d7b1f413df81b&vjs=3
Desenvolvedor full-stack Ruby,Moltrio,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3d724a8b3b463448&fccid=79a60370339d7a07&vjs=3
Analista de Segurança da Informação III (Pentest),Tempest,Brasil,há 12 dias,https://br.indeed.com/rc/clk?jk=d7cbf8e59976528a&fccid=5694053ccc30dc57&vjs=3
Desenvolvedor,Curriculum.com.br,"Curitiba, PR",há 5 dias,https://br.indeed.com/rc/clk?jk=925fc2bd57ee63b3&fccid=22d7ce555383096d&vjs=3
Software Engineering Manager / Tech Lead,SourceLevel,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1db1d44ed124a04c&fccid=db73cdffc764793b&vjs=3
Quality Analyst (automated tests),ilegra Jobs,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=054449d250c88642&fccid=f82d7d35af886d46&vjs=3
Tech Lead,Responde Ai,"Rio de Janeiro, RJ",há 9 dias,https://br.indeed.com/rc/clk?jk=fd76f75235e1bb3d&fccid=606f27afd5a3ceb0&vjs=3
Desenvolvedor(a) Back-end Ruby (remoto),GeekHunter,Brasil,há 5 dias,https://br.indeed.com/rc/clk?jk=ab5b5f9b1f7b2b0a&fccid=9ba8dec3013c0c90&vjs=3
Analista de Segurança da Informação,NEUROTECH,"Recife, PE",há 7 dias,https://br.indeed.com/rc/clk?jk=dd6faa76ff26c523&fccid=f331432af895fe1f&vjs=3
Desenvolvedor(a) Full Stack,Quero Educação,"São José dos Campos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e6ed8b1ecebb322c&fccid=4c10b03c51662982&vjs=3
QA Automação Sênior (Ruby),Divulga Vagas,"São Paulo, SP",há 16 dias,https://br.indeed.com/rc/clk?jk=f8737f7030b44205&fccid=1abbffd7f44ec1e9&vjs=3
Sr Back-End Engineer,DogHero,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=0b48d50409027608&fccid=c508568edc60defd&vjs=3
QA Automation Tester,inGaia,"Campinas, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=fba4f2aa577c068a&fccid=a11aa6f8ba4f7cd8&vjs=3
Desenvolvedor Back-End Sênior,Hi Platform,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=2a34e4b67adf1e71&fccid=88f95a1d9f166f6e&vjs=3
Desenvolvedor(a) Mobile sênior (remoto),GeekHunter,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a0cc944885b03cbd&fccid=9ba8dec3013c0c90&vjs=3
Desenvolvedor(a) Full-stack Ruby Sênior (Remoto),GeekHunter,Brasil,há 13 dias,https://br.indeed.com/rc/clk?jk=990cd1822bd35a77&fccid=9ba8dec3013c0c90&vjs=3
Analista de Teste de Software Sênior (QA),Dock - Banking as a Service,"Barueri, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=da002073ad8c5deb&fccid=ab977253e7ff24c0&vjs=3
Desenvolvedor Ruby Senior,Verx Consulting,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=61b5f2f50925679b&fccid=24d1ca9980501b61&vjs=3
SUPORTE TÉCNICO/ADMINISTRATIVO - PORTO ALEGRE,OEmprego,"Porto Alegre, RS",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=bb8437392505abbb&fccid=919b31f0a22ef58e&vjs=3
Desenvolvedor Ruby on Rails (Pleno/Senior),Herospark,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3173c193a80673f8&fccid=246eab63600527dd&vjs=3
Site Reliability Engineer - SRE,ROCKCONTENT,Remoto,há 26 dias,https://br.indeed.com/rc/clk?jk=92550186ab3f1092&fccid=49d017a663d6f0f1&vjs=3
DESENVOLVEDOR RUBY ON RAILS - BV,Buscar Vagas,"Brasília, DF",há 17 dias,https://br.indeed.com/rc/clk?jk=068afdd39263b17e&fccid=cd25ed76f1946ad0&vjs=3
Analista de Testes,Mazzatech,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=8df2cd88a75e18af&fccid=7d320c75db933aec&vjs=3
Desenvolvedor Back-end,Ewave do Brasil,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=fc560e355211e448&fccid=3e70db4eb9a109af&vjs=3
engenheiro(a) DevOps,enjoei,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a00b981a2b2a71f6&fccid=f308c360f3026acd&vjs=3
Analista de QA Jr.,Hi Platform,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ad66acb64156ff5f&fccid=88f95a1d9f166f6e&vjs=3
Full Stack Engineer,AlphaSights,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e6bb8c4ee90daa22&fccid=915837b22fb3a5f0&vjs=3
Engenheiro de Software Backend,Bem Fácil Contrate,Remoto,há 7 dias,https://br.indeed.com/rc/clk?jk=6ae6156e991f1f66&fccid=6c5ae06c82b00e36&vjs=3
Desenvolvedor(a) Back-end Ruby on Rails,GeekHunter,"São Paulo, SP",há 12 dias,https://br.indeed.com/rc/clk?jk=4776fea6d3f5b411&fccid=9ba8dec3013c0c90&vjs=3
Dev Back-end JR,B2W Digital,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3a85afc945e4babf&fccid=9a54cd3cc68df0fc&vjs=3
Analista de Currículo - Desenvolvimento Web,Trybe,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=137ff1ce3f42de96&fccid=3d56ca24276df437&vjs=3
Tech Lead Ruby,Divulga Vagas,"São Paulo, SP",há 17 dias,https://br.indeed.com/rc/clk?jk=0febdd75285a9f81&fccid=1abbffd7f44ec1e9&vjs=3
Pessoa Engenheira de Software - SRE/DevOps (Kubernetes),RD Station,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=222f2a4745e3cf1b&fccid=943c4ec34e54e91b&vjs=3
Gerente de Desenvolvimento - TI,Arca Soltec,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=72572bbbb1c37751&fccid=88bfc32b1fedd415&vjs=3
Systems Support Engineer - DevOps,WSO2,"Colombo, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7fa4531079054c4b&fccid=7793a163fc55bc56&vjs=3
Engenheiro de QA -Testes de Software (Remoto),Blu,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e23a64ec94d43ad7&fccid=641ef99ce9e55e35&vjs=3
Senior Ruby on Rails Full-stack Developer,MarsBased,Exterior,há 5 dias,https://br.indeed.com/rc/clk?jk=737e8ff72d8c4265&fccid=0b88d9235bb52b19&vjs=3
Pessoa Desenvolvedora FullStack PJ - Remoto,Ateliê de Software,Remoto,há 5 dias,https://br.indeed.com/rc/clk?jk=d1e1e9514bc45e9b&fccid=bf27724e1e54708d&vjs=3
Ruby on Rails Developer (Ruby/JS),Runrun.it,"São Paulo, SP",há 18 dias,https://br.indeed.com/rc/clk?jk=786e81a444b11116&fccid=f46e088b2151af05&vjs=3
Estagiário de TI,Não encontrada,"Natal, RN",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ac059b967b8a137e&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor(a) de Sistemas Web,Lepidus Tecnologia,"Manaus, AM",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=6a91b6dcdf1f53d8&fccid=adb41b3fcdd5f5e9&vjs=3
Pessoa Instrutora de Tecnologia,Trybe,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e7ffd6813287a6da&fccid=3d56ca24276df437&vjs=3
DEVOPS,AlfaCon,"São Paulo, SP",há 4 dias,https://br.indeed.com/rc/clk?jk=343bd4af368dd9b5&fccid=8fac37a97c557b05&vjs=3
Desenvolvedor Rails (Remoto),Improving,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=711ce96f451555ff&fccid=1bb41786b78948a4&vjs=3
Software Developer,Trybe,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5c20719e1a73d4f1&fccid=3d56ca24276df437&vjs=3
Desenvolvedor Front-End,Arca Soltec,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4a753cd206484e90&fccid=88bfc32b1fedd415&vjs=3
DESENVOLVEDOR BACKEND RUBY ON RAILS PLENO OU SÊNIO,Cosmos,"São José dos Campos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ac9d5916de5a61f9&fccid=d39772784504bf96&vjs=3
Tech Lead (Ruby On Rails),Divulga Vagas,"São Paulo, SP",há 16 dias,https://br.indeed.com/rc/clk?jk=cd871351f386f619&fccid=1abbffd7f44ec1e9&vjs=3
Pessoa Desenvolvedora Backend,CashMe,"São Paulo, SP",há 20 dias,https://br.indeed.com/rc/clk?jk=9c3872fb566b076e&fccid=f5dbedd077ca223d&vjs=3
Gerente Cyber Segurança - Red Team,EY,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ad7aa986942c620f&fccid=1544766d4c2915b0&vjs=3
Desenvolvedor,Divulga Vagas,"São Paulo, SP",há 11 dias,https://br.indeed.com/rc/clk?jk=a51573832df35d1c&fccid=1abbffd7f44ec1e9&vjs=3
Analista de Testes de Software (Pl/Sr),Assertiva - Tecnologia e Inteligência de Dados,"Campinas, SP",há 10 dias,https://br.indeed.com/rc/clk?jk=bc0723d34ba5077f&fccid=f334877777418619&vjs=3
Analista Devops Sênior,CMCorp Soluções em Informática,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=704e01b419ab5c35&fccid=4f06763c6d2160cf&vjs=3
Research Software Engineer,Senior Sistemas,"Blumenau, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=cf1c22d27abe8c08&fccid=e1dc47ab7b04aa94&vjs=3
Desenvolvedor mobile nativo iOS/Android,Sparta Labs,"Blumenau, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=6d77919b5f9911ba&fccid=c8cabf0481c8572e&vjs=3
Desenvolvedor(a) Ruby Back-end,GeekHunter,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=47a2ec0b1196c8fb&fccid=9ba8dec3013c0c90&vjs=3
[RJ] Automatizador de Testes (RUBY),RADIX Engenharia e Software,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7fcd613296d6254b&fccid=833e800ebc6f3f29&vjs=3
Site Reliability Engineer (SRE) | Full Time,Comunidade Cognitivo.ai,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=9fa1d65cabc8218a&fccid=3869f0773bcb2bd3&vjs=3
Especialista de Tecnologia,Dentsu Aegis Network,"Visconde do Rio Branco, MG",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=d1e0c4d5392e9702&fccid=9834e576343ebcc2&vjs=3
Desenvolvedor (a) Back-End SR,Contraktor,"Curitiba, PR",há 9 dias,https://br.indeed.com/rc/clk?jk=dc35b6c238873d6b&fccid=69849f81900570c4&vjs=3
Desenvolvedor mobile nativo iOS/Android,Sparta Labs,"Blumenau, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=6d77919b5f9911ba&fccid=c8cabf0481c8572e&vjs=3
Engenheiro de Software Senior,Tempest,Pernambuco,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=c64671806ed4a4a1&fccid=5694053ccc30dc57&vjs=3
Desenvolvedor(a) Ruby Back-end,GeekHunter,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=47a2ec0b1196c8fb&fccid=9ba8dec3013c0c90&vjs=3
Gerente Cyber Segurança - Red Team,EY,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ad7aa986942c620f&fccid=1544766d4c2915b0&vjs=3
Analista Devops Sênior,CMCorp Soluções em Informática,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=704e01b419ab5c35&fccid=4f06763c6d2160cf&vjs=3
Desenvolvedor Front-End,Arca Soltec,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4a753cd206484e90&fccid=88bfc32b1fedd415&vjs=3
DESENVOLVEDOR BACKEND RUBY ON RAILS PLENO OU SÊNIO,Cosmos,"São José dos Campos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ac9d5916de5a61f9&fccid=d39772784504bf96&vjs=3
Desenvolvedor Full Stack,Curriculum.com.br,"Curitiba, PR",há 5 dias,https://br.indeed.com/rc/clk?jk=904a1e4c4d28ef98&fccid=22d7ce555383096d&vjs=3
Desenvolvedor FullStack,Incentiv.me,"Florianópolis, SC",há 10 dias,https://br.indeed.com/rc/clk?jk=68ffc13f47ff095a&fccid=08d504132b854d40&vjs=3
Desenvolvedor (a) Back-End SR,Contraktor,"Curitiba, PR",há 9 dias,https://br.indeed.com/rc/clk?jk=dc35b6c238873d6b&fccid=69849f81900570c4&vjs=3
Senior or Mid-level Front-end Developer (International Project),Visionnaire,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a32511214e40a368&fccid=2aacee86c2027be3&vjs=3
Desenvolvedor(a) FullStack (Mobile/.NET)/SR,Zallpy Digital,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ceb641f243d74e93&fccid=2ac78f54db705d75&vjs=3
Desenvolvedor Backend Pleno- Node.js | Django (Remoto),Blu,"Rio de Janeiro, RJ",há 11 dias,https://br.indeed.com/rc/clk?jk=e7f1f388204d8aba&fccid=641ef99ce9e55e35&vjs=3
Analista de Automação de Testes Sênior,Prime Control,"São Paulo, SP",Recém publicada,https://br.indeed.com/rc/clk?jk=eafa61df1510aa05&fccid=26dabeb3b5e63829&vjs=3
Automatizador/QA Pleno Mobile,Infobase,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=c85a8d9965734105&fccid=9e801c5575a74058&vjs=3
Desenvolvedor Backend Sênior,QC Vagas,"Rio de Janeiro, RJ",há 4 dias,https://br.indeed.com/rc/clk?jk=d1290ece73a032c0&fccid=dd616958bd9ddc12&vjs=3
QA - Automação de Testes,Compasso UOL,Brasil,há 12 dias,https://br.indeed.com/rc/clk?jk=440b58188d85460e&fccid=6621f80bf2653f52&vjs=3
Sr. Software Development Engineer in Test,Avalara,"São Paulo, SP",há 10 dias,https://br.indeed.com/rc/clk?jk=5bf69e653529b6e6&fccid=ec30d82962c8b13b&vjs=3
Web Developer,Euax Consultoria em Projetos e Processos Ltda,"Joinville, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=91696590d676bf8b&fccid=2602634fcf706fa5&vjs=3
Analista de Infraestrutura,Muxi,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=d61a38c7e3a825fb&fccid=cec40cea54b8070e&vjs=3
Desenvolvedor Back End,Pinho Gestão Logística Internacional,"Curitiba, PR",há 25 dias,https://br.indeed.com/rc/clk?jk=3dd52626acff6ff3&fccid=7faf692430a52f6b&vjs=3
Desenvolvedor Ruby On Rails Sr - BV,Buscar Vagas,"São Paulo, SP",há 18 dias,https://br.indeed.com/rc/clk?jk=1e018c139cfd905f&fccid=cd25ed76f1946ad0&vjs=3
Gympass - Senior Frontend Engineer,Page Outsourcing,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7f8de6c333e5880c&fccid=fc1baebad91dc0fa&vjs=3
Desenvolvedor Back End,Arca Soltec,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e487ac851d75010c&fccid=88bfc32b1fedd415&vjs=3
Tech Lead Front-End,Grafeno,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4947817b5e9cc6cf&fccid=b2df90628328d927&vjs=3
[Culture] QA Lead,ília,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=d0bccc8493e044c6&fccid=b27d2e8ddef5c8b0&vjs=3
iOS Developer,Quicko,"São Paulo, SP",há 18 dias,https://br.indeed.com/rc/clk?jk=97b6a0ebcb77d6b5&fccid=c0ce4dbd4856db2c&vjs=3
Líder em Engenharia de Software (SRE / DevOps),Tempest,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=cc3c4b886e9cd553&fccid=5694053ccc30dc57&vjs=3
PS - Analista de Infraestrutura Pleno,Verx Consulting,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1ec4b277e04eaff3&fccid=24d1ca9980501b61&vjs=3
Senior or Mid-level Back-end Developer (International Project),Visionnaire,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=503012dfd75b371c&fccid=2aacee86c2027be3&vjs=3
QA Automação,Verx Consulting,"Barueri, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=b0e82440b820e020&fccid=24d1ca9980501b61&vjs=3
Analista Full-Stack Sênior (NODE),Verx Consulting,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=5bf44bc793ec8108&fccid=24d1ca9980501b61&vjs=3
Gympass - Tech Lead,Page Outsourcing,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=362bc34aec8ac07d&fccid=fc1baebad91dc0fa&vjs=3
Tech Leader,Carguero,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f36754053a3a978a&fccid=cb03247077c492f7&vjs=3
Coordenador de Desenvolvimento de Sistemas,Euax Consultoria em Projetos e Processos Ltda,"Joinville, SC",há 9 dias,https://br.indeed.com/rc/clk?jk=ae0dc9ce620b3598&fccid=2602634fcf706fa5&vjs=3
Tech Lead - Fortaleza,Lenovo,"Fortaleza, CE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=906fdd55a9abec02&fccid=af103eaff391cdf0&vjs=3
ANALISTA DE IMPLEMENTAÇÕES E SOLUÇÕES,Connectcom,"Rio de Janeiro, RJ",há 6 dias,https://br.indeed.com/rc/clk?jk=03e4998897c4394f&fccid=336534eeea091ba0&vjs=3
Engenheiro de Software Sênior,SuperSim,"São Paulo, SP",há 13 dias,https://br.indeed.com/rc/clk?jk=c90b07721405e5fc&fccid=61e49236fd01be3a&vjs=3
Senior Java Developer,Sovos Compliance,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=b4bc69f885b400d7&fccid=9bfefbc2c3bb984d&vjs=3
DevOps Engineer,amdocs,"São Carlos, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f8c2b62a281f127d&fccid=3b6bf500a6749588&vjs=3
Senior Software Developer,M4U,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=e7373e8e1360b14d&fccid=5ff93bffc905e02d&vjs=3
Desenvolvedor(a) Pleno,Beep Saúde,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a96520a94ef80eb4&fccid=5f1a5dcf8d0dd3b8&vjs=3
Analista de Dados - Marketing B2C,FreteBras,"São Paulo, SP",há 12 dias,https://br.indeed.com/rc/clk?jk=1eccffb078811c2b&fccid=52ce3d0deb78eae4&vjs=3
Arquiteto de Soluções,Prime Control,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=35ac8fce9d3e3e2f&fccid=26dabeb3b5e63829&vjs=3
Specialist Solution Architect,Red Hat Software,"Brasília, DF",há 28 dias,https://br.indeed.com/rc/clk?jk=532872fb3b8f4a03&fccid=e24a60f01d1882d1&vjs=3
Analista de Automação de Testes,Prime Control,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=7e58225e90671b35&fccid=26dabeb3b5e63829&vjs=3
Technology Consultant,DXC Technology,Estado de São Paulo,há 18 dias,https://br.indeed.com/rc/clk?jk=79e64fb1a4a012b4&fccid=feaabf8e6a699d3c&vjs=3
QA Senior,GFT Technologies,Estado de São Paulo,há 18 dias,https://br.indeed.com/rc/clk?jk=8c32c6a722bfc837&fccid=8ab7cdd8a4b10bfc&vjs=3
Analista de Testes Auto Senior,Mutant,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=f60d4a964a1e02e5&fccid=22c551d6141563cd&vjs=3
Desenvolvedor Node.js - Remoto,Dialog,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=dea21dbad46b3598&fccid=e0b68dd1a834ccf1&vjs=3
